Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,,,
Roberto Firmino,Liverpool FC,BRA,FW,28,36,33,2838,9,7,1308,797,0,0,4,2,2,0,,,
Sadio Mané,Liverpool FC,SEN,FW,28,35,31,2810,11,7,1064,754,0,0,49,18,3,0,,,
Fabinho,Liverpool FC,BRA,"DF,MF",26,30,28,2567,0,0,2049,911,0,0,2,1,6,0,,,
Thiago Alcántara,Liverpool FC,ESP,MF,29,24,20,1854,1,0,1674,895,0,0,7,11,4,0,,,
Jordan Henderson,Liverpool FC,ENG,"MF,DF",30,21,20,1704,1,1,1812,868,0,0,9,7,0,0,,,
Nathaniel Phillips,Liverpool FC,ENG,DF,23,17,15,1456,1,1,1058,872,0,0,7,2,2,0,,,
Curtis Jones,Liverpool FC,ENG,MF,19,24,13,1179,1,2,976,912,0,0,11,12,2,0,,,
Diogo Jota,Liverpool FC,POR,FW,23,19,12,1112,9,0,451,725,0,0,53,13,2,0,,,
James Milner,Liverpool FC,ENG,"MF,DF",34,26,11,1070,0,1,913,849,0,0,4,1,3,0,,,
Ozan Kabak,Liverpool FC,TUR,DF,20,9,9,801,0,0,554,906,0,0,1,2,3,0,,,
Joël Matip,Liverpool FC,CMR,DF,28,10,9,691,1,2,527,884,0,0,8,14,2,0,,,
Rhys Williams,Liverpool FC,ENG,DF,19,9,7,661,0,0,451,920,0,0,7,5,0,0,,,
Naby Keïta,Liverpool FC,GUI,MF,25,10,7,520,0,0,356,874,0,0,9,14,1,0,,,
Joe Gomez,Liverpool FC,ENG,DF,23,7,6,590,0,0,532,902,0,0,0,0,0,0,,,
Xherdan Shaqiri,Liverpool FC,SUI,"MF,FW",28,14,5,556,0,2,426,836,0,0,6,49,2,0,,,
Virgil van Dijk,Liverpool FC,NED,DF,29,5,5,370,1,0,329,900,0,0,8,0,1,0,,,
Adrián,Liverpool FC,ESP,GK,33,3,3,270,0,0,99,768,0,0,0,0,0,0,,,
Neco Williams,Liverpool FC,WAL,DF,19,6,3,249,0,0,213,732,0,0,3,1,1,0,,,
Takumi Minamino,Liverpool FC,JPN,"MF,FW",25,9,2,293,1,0,139,799,0,0,2,0,0,0,,,
Alex Oxlade-Chamberlain,Liverpool FC,ENG,"FW,MF",26,13,2,253,1,1,138,754,0,0,13,8,0,0,,,
Divock Origi,Liverpool FC,BEL,FW,25,9,2,186,0,0,60,767,0,0,47,11,0,0,,,
Caoimhín Kelleher,Liverpool FC,IRL,GK,21,2,2,180,0,0,62,823,0,0,0,0,0,0,,,
Kostas Tsimikas,Liverpool FC,GRE,DF,24,2,0,7,0,0,8,750,0,0,0,0,0,0,,,
Kasper Schmeichel,Leicester City,DEN,GK,33,38,38,3420,0,0,1218,727,0,0,0,0,0,0,,,
Youri Tielemans,Leicester City,BEL,MF,23,38,37,3357,6,4,2559,786,2,2,12,9,6,0,,,
Jamie Vardy,Leicester City,ENG,FW,33,34,31,2840,15,9,452,664,8,9,62,16,1,0,,,
Jonny Evans,Leicester City,NIR,DF,32,28,28,2473,2,2,1764,875,0,0,6,1,7,0,,,
Timothy Castagne,Leicester City,BEL,DF,24,27,27,2345,2,3,1512,838,0,0,5,8,1,0,,,
Wesley Fofana,Leicester City,FRA,DF,19,28,27,2262,0,0,1672,882,0,0,4,1,7,0,,,
Wilfred Ndidi,Leicester City,NGA,"MF,DF",23,26,25,2176,1,4,1363,881,0,0,3,6,6,0,,,
James Maddison,Leicester City,ENG,"MF,FW",23,31,24,2099,8,5,1116,773,0,0,19,23,4,0,,,
James Justin,Leicester City,ENG,DF,22,23,23,2070,2,1,1248,792,0,0,7,7,4,0,,,
Harvey Barnes,Leicester City,ENG,"FW,MF",22,25,22,1945,9,4,626,748,0,0,29,7,0,0,,,
Çağlar Söyüncü,Leicester City,TUR,DF,24,23,19,1819,1,0,1351,890,0,0,3,1,2,0,,,
Marc Albrighton,Leicester City,ENG,"DF,FW",30,31,17,1746,1,5,923,688,0,0,7,23,2,0,,,
Kelechi Iheanacho,Leicester City,NGA,FW,23,25,16,1459,12,2,501,798,0,1,48,18,1,0,,,
Nampalys Mendy,Leicester City,SEN,MF,28,23,15,1459,0,1,965,914,0,0,1,2,5,0,,,
Ayoze Pérez,Leicester City,ESP,"MF,FW",27,25,15,1331,2,1,499,766,0,0,22,8,2,0,,,
Luke Thomas,Leicester City,ENG,DF,19,14,12,969,1,0,484,742,0,0,3,2,2,0,,,
Ricardo Pereira,Leicester City,POR,DF,26,15,10,959,0,1,525,783,0,0,4,5,3,0,,,
Dennis Praet,Leicester City,BEL,"MF,FW",26,15,10,718,1,1,313,792,0,0,7,1,0,0,,,
Daniel Amartey,Leicester City,GHA,DF,25,12,8,722,1,0,466,858,0,0,5,0,3,0,,,
Christian Fuchs,Leicester City,AUT,DF,34,9,8,702,0,0,589,812,0,0,1,0,4,0,,,
Hamza Choudhury,Leicester City,ENG,MF,22,10,4,316,0,0,235,809,0,0,11,0,1,0,,,
Cengiz Ünder,Leicester City,TUR,"MF,FW",23,9,1,281,0,2,129,705,0,0,8,57,0,0,,,
Sidnei Tavares,Leicester City,POR,MF,18,2,1,85,0,0,26,731,0,0,6,0,0,0,,,
Islam Slimani,Leicester City,ALG,FW,32,1,0,20,0,0,11,727,0,0,19,13,0,0,,,
Demarai Gray,Leicester City,ENG,FW,24,1,0,19,0,0,11,636,0,0,43,0,0,0,,,
Wes Morgan,Leicester City,JAM,DF,36,3,0,18,0,0,5,1000,0,0,0,0,0,0,,,
Khanya Leshabela,Leicester City,RSA,MF,20,1,0,10,0,0,9,778,0,0,0,0,0,0,,,
Tomáš Souček,West Ham United,CZE,MF,25,38,38,3419,10,1,1539,769,0,0,24,4,7,1,,,
Aaron Cresswell,West Ham United,ENG,DF,30,36,36,3170,0,8,2060,748,0,0,3,17,3,0,,,
Łukasz Fabiański,West Ham United,POL,GK,35,35,35,3150,0,0,1002,605,0,0,0,0,2,0,,,
Vladimír Coufal,West Ham United,CZE,DF,27,34,34,3054,0,7,1692,709,0,0,4,14,3,0,,,
Declan Rice,West Ham United,ENG,MF,21,32,32,2879,2,1,1506,862,1,2,1,6,2,0,,,
Pablo Fornals,West Ham United,ESP,"FW,MF",24,33,31,2572,5,4,1102,773,0,0,23,9,3,0,,,
Jarrod Bowen,West Ham United,ENG,"FW,MF",23,38,30,2562,8,5,734,680,0,0,22,16,0,0,,,
Angelo Ogbonna,West Ham United,ITA,DF,32,28,28,2492,3,0,960,844,0,0,5,4,5,0,,,
Michail Antonio,West Ham United,ENG,FW,30,26,24,1974,10,5,490,665,0,0,52,11,3,0,,,
Craig Dawson,West Ham United,ENG,DF,30,22,22,1925,3,0,718,825,0,0,8,0,5,1,,,
Jesse Lingard,West Ham United,ENG,"MF,FW",27,16,16,1421,9,4,669,813,1,2,32,9,3,0,,,
Issa Diop,West Ham United,FRA,DF,23,18,15,1381,2,0,563,844,0,0,2,0,3,0,,,
Saïd Benrahma,West Ham United,ALG,"FW,MF",24,30,14,1391,1,6,527,780,0,0,15,28,0,0,,,
Fabián Balbuena,West Ham United,PAR,DF,28,14,13,1198,1,0,465,768,0,0,5,0,1,1,,,
Arthur Masuaku,West Ham United,COD,"DF,FW",26,12,12,1006,0,2,552,801,0,0,3,17,2,0,,,
Sébastien Haller,West Ham United,CIV,FW,26,16,10,937,3,0,252,679,0,0,28,12,0,0,,,
Mark Noble,West Ham United,ENG,MF,33,21,8,712,0,0,429,872,0,0,0,3,1,0,,,
Ryan Fredericks,West Ham United,ENG,"DF,FW",27,14,6,569,1,1,279,728,0,0,5,19,2,0,,,
Manuel Lanzini,West Ham United,ARG,"MF,FW",27,17,5,566,1,1,368,889,0,0,18,14,1,0,,,
Ben Johnson,West Ham United,ENG,DF,20,14,5,523,1,0,219,703,0,0,6,4,1,0,,,
Darren Randolph,West Ham United,IRL,GK,33,3,3,270,0,0,66,545,0,0,0,0,0,0,,,
Andriy Yarmolenko,West Ham United,UKR,"FW,MF",30,15,1,375,0,1,157,790,0,0,1,23,3,0,,,
Robert Snodgrass,West Ham United,SCO,"FW,DF",32,3,0,5,0,0,3,1000,0,0,0,0,0,0,,,
Felipe Anderson,West Ham United,BRA,"FW,MF",27,2,0,3,0,0,6,667,0,0,0,0,0,0,,,
Pierre Højbjerg,Tottenham Hotspur,DEN,MF,24,38,38,3420,2,4,2687,889,0,0,3,5,9,0,,,
Hugo Lloris,Tottenham Hotspur,FRA,GK,33,38,38,3420,0,0,1067,715,0,0,0,0,0,0,,,
Son Heung-min,Tottenham Hotspur,KOR,FW,28,37,36,3114,17,10,1199,767,1,1,3,26,0,0,,,
Harry Kane,Tottenham Hotspur,ENG,FW,27,35,35,3082,23,14,937,701,4,4,6,22,1,0,,,
Eric Dier,Tottenham Hotspur,ENG,DF,26,28,28,2520,0,0,1654,846,0,0,3,0,3,0,,,
Tanguy Ndombele,Tottenham Hotspur,FRA,MF,23,33,28,2091,3,2,1165,853,0,0,6,1,3,0,,,
Sergio Reguilón,Tottenham Hotspur,ESP,DF,23,27,26,2244,0,3,1393,772,0,0,6,7,5,0,,,
Toby Alderweireld,Tottenham Hotspur,BEL,DF,31,25,25,2240,1,0,1366,837,0,0,3,1,2,0,,,
Serge Aurier,Tottenham Hotspur,CIV,DF,27,19,19,1605,2,3,954,806,0,0,8,11,0,0,,,
Davinson Sánchez,Tottenham Hotspur,COL,DF,24,18,17,1486,0,0,977,869,0,0,7,0,1,0,,,
Moussa Sissoko,Tottenham Hotspur,FRA,MF,30,25,15,1585,0,0,792,841,0,0,2,3,3,0,,,
Lucas Moura,Tottenham Hotspur,BRA,"FW,MF",27,30,14,1411,3,4,600,747,0,0,14,14,1,0,,,
Ben Davies,Tottenham Hotspur,WAL,DF,27,20,14,1346,0,1,783,779,0,0,1,4,1,0,,,
Matt Doherty,Tottenham Hotspur,IRL,DF,28,17,13,1240,0,2,826,806,0,0,3,6,4,1,,,
Steven Bergwijn,Tottenham Hotspur,NED,"FW,MF",22,21,13,1208,1,3,428,811,0,0,18,9,3,0,,,
Giovani Lo Celso,Tottenham Hotspur,ARG,MF,24,18,11,945,1,1,589,789,0,0,11,12,5,0,,,
Gareth Bale,Tottenham Hotspur,WAL,FW,31,20,10,920,11,2,408,696,0,0,52,19,1,0,,,
Harry Winks,Tottenham Hotspur,ENG,MF,24,15,9,861,0,0,658,842,0,0,1,3,5,0,,,
Joe Rodon,Tottenham Hotspur,WAL,DF,22,12,8,733,0,0,411,888,0,0,0,0,0,0,,,
Dele Alli,Tottenham Hotspur,ENG,MF,24,15,7,620,0,1,337,801,0,0,2,13,0,0,,,
Japhet Tanganga,Tottenham Hotspur,ENG,DF,21,6,6,487,0,0,229,843,0,0,4,0,2,0,,,
Érik Lamela,Tottenham Hotspur,ARG,"FW,MF",28,23,5,717,1,0,368,785,0,0,18,12,6,1,,,
Carlos Vinícius,Tottenham Hotspur,BRA,FW,25,9,3,308,1,0,44,568,0,0,4,3,2,0,,,
Dane Scarlett,Tottenham Hotspur,ENG,FW,16,1,0,1,0,0,0,-10,0,0,0,0,0,0,,,
Bernd Leno,Arsenal,GER,GK,28,35,35,3131,0,0,1156,798,0,0,0,0,0,1,,,
Bukayo Saka,Arsenal,ENG,"FW,DF",18,32,30,2553,5,3,1155,749,0,0,24,17,1,0,,,
Granit Xhaka,Arsenal,SUI,"MF,DF",27,31,29,2522,1,2,2164,899,0,0,3,6,7,1,,,
Rob Holding,Arsenal,ENG,DF,24,30,28,2558,0,1,1768,893,0,0,4,1,2,0,,,
Pierre-Emerick Aubameyang,Arsenal,GAB,FW,31,29,26,2332,10,3,691,750,2,2,41,11,2,0,,,
Kieran Tierney,Arsenal,SCO,DF,23,27,26,2299,1,3,1490,762,0,0,2,16,4,0,,,
Héctor Bellerín,Arsenal,ESP,DF,25,25,24,2089,1,2,1302,829,0,0,4,1,8,0,,,
Gabriel Dos Santos,Arsenal,BRA,DF,22,23,22,1996,2,0,1492,860,0,0,5,0,4,1,,,
Alexandre Lacazette,Arsenal,FRA,FW,29,31,22,1923,13,2,524,782,3,3,46,13,3,0,,,
Thomas Partey,Arsenal,GHA,MF,27,24,18,1534,0,2,1112,869,0,0,8,6,5,0,,,
Emile Smith-Rowe,Arsenal,ENG,"MF,FW",20,20,18,1440,2,4,724,877,0,0,13,18,0,0,,,
Dani Ceballos,Arsenal,ESP,MF,23,25,17,1615,0,3,1286,865,0,0,4,16,4,0,,,
Mohamed Elneny,Arsenal,EGY,MF,28,23,17,1544,1,0,1003,934,0,0,3,1,3,0,,,
David Luiz,Arsenal,BRA,DF,33,20,17,1396,1,0,965,836,0,0,6,3,1,1,,,
Nicolas Pépé,Arsenal,CIV,FW,25,29,16,1616,10,1,674,757,1,1,39,5,1,1,,,
Willian,Arsenal,BRA,"FW,MF",31,25,16,1406,1,5,787,793,0,0,13,16,0,0,,,
Pablo Marí,Arsenal,ESP,DF,26,10,10,900,0,0,592,907,0,0,0,0,2,0,,,
Martin Ødegaard,Arsenal,NOR,MF,21,14,9,866,1,2,521,864,0,0,11,22,0,0,,,
Calum Chambers,Arsenal,ENG,DF,25,10,8,753,0,2,575,803,0,0,7,14,0,0,,,
Cédric Soares,Arsenal,POR,DF,28,10,8,746,0,1,463,758,0,0,3,11,1,0,,,
Martinelli,Arsenal,BRA,FW,19,14,7,589,2,1,159,792,0,0,53,32,0,0,,,
Ainsley Maitland-Niles,Arsenal,ENG,DF,22,11,5,490,0,0,288,785,0,0,2,4,0,0,,,
Eddie Nketiah,Arsenal,ENG,FW,21,17,4,423,2,1,89,820,0,0,52,18,0,0,,,
Mathew Ryan,Arsenal,AUS,GK,28,3,3,270,0,0,67,925,0,0,0,0,0,0,,,
Joe Willock,Arsenal,ENG,MF,20,7,2,238,0,0,91,758,0,0,17,2,1,0,,,
Sead Kolašinac,Arsenal,BIH,DF,27,1,1,90,0,0,64,844,0,0,0,0,0,0,,,
Reiss Nelson,Arsenal,ENG,FW,20,2,0,71,0,0,30,567,0,0,6,0,0,0,,,
Shkodran Mustafi,Arsenal,GER,DF,28,3,0,47,0,0,48,854,0,0,0,0,0,0,,,
Rúnar Alex Rúnarsson,Arsenal,ISL,GK,25,1,0,16,0,0,11,636,0,0,0,0,0,0,,,
Stuart Dallas,Leeds United,NIR,"DF,MF",29,38,38,3409,8,2,2212,820,0,0,12,5,7,0,,,
Luke Ayling,Leeds United,ENG,DF,28,38,38,3399,0,0,2661,793,0,0,4,7,7,0,,,
Patrick Bamford,Leeds United,ENG,FW,26,38,37,3050,17,7,506,763,2,2,51,12,3,0,,,
Illan Meslier,Leeds United,FRA,GK,20,35,35,3150,0,0,1348,809,0,0,0,0,0,0,,,
Jack Harrison,Leeds United,ENG,MF,23,36,34,2847,8,8,1162,678,0,0,21,22,2,0,,,
Ezgjan Alioski,Leeds United,MKD,DF,28,36,29,2461,2,3,1630,801,0,0,5,11,7,0,,,
Kalvin Phillips,Leeds United,ENG,MF,24,29,28,2428,1,2,1462,828,0,0,1,14,10,0,,,
Mateusz Klich,Leeds United,POL,MF,30,35,28,2393,4,5,1495,793,2,2,13,15,6,0,,,
Raphael Dias Belloli,Leeds United,BRA,MF,23,30,26,2360,6,9,1057,667,0,0,23,31,3,0,,,
Liam Cooper,Leeds United,SCO,DF,28,25,25,2185,1,0,1555,877,0,0,5,0,4,1,,,
Pascal Struijk,Leeds United,NED,"DF,MF",20,27,22,2075,1,0,1259,871,0,0,1,1,3,0,,,
Tyler Roberts,Leeds United,WAL,"MF,FW",21,27,14,1340,1,2,467,722,0,0,14,12,3,0,,,
Rodrigo,Leeds United,ESP,"MF,FW",29,26,14,1288,7,2,573,754,0,0,44,17,3,0,,,
Diego Llorente,Leeds United,ESP,DF,26,15,14,1204,1,0,665,854,0,0,6,5,1,0,,,
Hélder Costa,Leeds United,POR,"MF,FW",26,22,13,1156,3,3,328,738,0,0,16,7,0,0,,,
Robin Koch,Leeds United,GER,"DF,MF",24,17,13,1132,0,0,757,856,0,0,6,1,1,0,,,
Jamie Shackleton,Leeds United,ENG,"MF,DF",20,13,3,461,0,0,206,883,0,0,0,5,0,0,,,
Pablo Hernández,Leeds United,ESP,MF,35,16,3,427,0,2,391,742,0,0,25,14,1,0,,,
Kiko Casilla,Leeds United,ESP,GK,33,3,3,270,0,0,94,872,0,0,0,0,0,0,,,
Gaetano Berardi,Leeds United,SUI,DF,31,2,1,113,0,0,56,821,0,0,3,0,0,0,,,
Ian Carlo Poveda,Leeds United,ENG,"MF,DF",20,14,0,355,0,0,117,735,0,0,9,21,0,0,,,
Niall Huggins,Leeds United,WAL,DF,19,1,0,38,0,0,23,739,0,0,0,0,0,0,,,
Leif Davis,Leeds United,ENG,DF,20,2,0,33,0,0,19,842,0,0,0,0,0,0,,,
Michael Keane,Everton,ENG,DF,27,35,33,2991,3,1,1835,889,0,0,4,3,4,0,,,
Richarlison,Everton,BRA,FW,23,34,33,2861,7,3,772,692,1,1,36,1,4,1,,,
Dominic Calvert-Lewin,Everton,ENG,FW,23,33,32,2871,16,0,669,716,0,0,48,6,3,0,,,
Jordan Pickford,Everton,ENG,GK,26,31,31,2742,0,0,1152,661,0,0,0,0,1,0,,,
Lucas Digne,Everton,FRA,DF,27,30,30,2681,0,7,1690,725,0,0,2,18,2,1,,,
Ben Godfrey,Everton,ENG,DF,22,31,29,2685,0,2,1302,846,0,0,3,2,4,0,,,
Abdoulaye Doucouré,Everton,FRA,MF,27,29,29,2443,2,3,1332,860,0,0,8,8,6,0,,,
Mason Holgate,Everton,ENG,DF,23,28,26,2287,1,0,1200,788,0,0,3,3,9,0,,,
Gylfi Sigurðsson,Everton,ISL,MF,30,36,24,2253,6,5,947,791,3,4,27,19,2,0,,,
Allan,Everton,BRA,MF,29,24,23,2051,0,0,1048,858,0,0,1,4,6,0,,,
Yerry Mina,Everton,COL,DF,25,24,23,1937,2,0,1227,909,0,0,6,0,2,0,,,
James Rodríguez,Everton,COL,"FW,MF",29,23,21,1764,6,4,1111,791,0,0,17,28,4,0,,,
Séamus Coleman,Everton,IRL,"DF,MF",31,25,18,1613,0,3,766,815,0,0,6,11,0,0,,,
André Gomes,Everton,POR,MF,27,28,17,1570,0,1,901,832,0,0,3,5,3,0,,,
